Match Number,Round Number,Date,Home Team,Away Team,Result
21152,4,2008-04-19T00:00:00.000Z,Houston Rockets,Utah Jazz,-11
21153,4,2008-04-20T00:00:00.000Z,Detroit Pistons,Philadelphia 76ers,-4
21154,4,2008-04-21T00:00:00.000Z,Cleveland Cavaliers,Washington Wizards,30
21155,4,2008-04-22T00:00:00.000Z,San Antonio Spurs,Phoenix Suns,6
21156,4,2008-04-23T00:00:00.000Z,Detroit Pistons,Philadelphia 76ers,17
21157,4,2008-04-24T00:00:00.000Z,Utah Jazz,Houston Rockets,-2
21158,4,2008-04-25T00:00:00.000Z,Dallas Mavericks,New Orleans Pelicans,10
21159,4,2008-04-26T00:00:00.000Z,Utah Jazz,Houston Rockets,4
21160,4,2008-04-26T00:00:00.000Z,Denver Nuggets,Los Angeles Lakers,-18
21161,4,2008-04-27T00:00:00.000Z,Philadelphia 76ers,Detroit Pistons,-9
21162,4,2008-04-29T00:00:00.000Z,Houston Rockets,Utah Jazz,26
21163,4,2008-05-02T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,-17
21164,4,2008-05-03T00:00:00.000Z,Detroit Pistons,Orlando Magic,19
21165,4,2008-05-04T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,11
21166,4,2008-05-05T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,18
21167,4,2008-05-07T00:00:00.000Z,Orlando Magic,Detroit Pistons,25
21168,4,2008-05-08T00:00:00.000Z,Boston Celtics,Cleveland Cavaliers,16
21331,4,2008-04-19T00:00:00.000Z,Cleveland Cavaliers,Washington Wizards,7
21332,4,2008-04-20T00:00:00.000Z,Boston Celtics,Atlanta Hawks,23
21333,4,2008-04-21T00:00:00.000Z,Houston Rockets,Utah Jazz,-6
21334,4,2008-04-22T00:00:00.000Z,Orlando Magic,Toronto Raptors,1
21335,4,2008-04-23T00:00:00.000Z,Los Angeles Lakers,Denver Nuggets,15
21336,4,2008-04-24T00:00:00.000Z,Toronto Raptors,Orlando Magic,14
21337,4,2008-04-25T00:00:00.000Z,Philadelphia 76ers,Detroit Pistons,20
21338,4,2008-04-26T00:00:00.000Z,Atlanta Hawks,Boston Celtics,9
21339,4,2008-04-27T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,-3
21340,4,2008-04-28T00:00:00.000Z,Orlando Magic,Toronto Raptors,10
21341,4,2008-04-29T00:00:00.000Z,Detroit Pistons,Philadelphia 76ers,17
21435,4,2008-04-27T00:00:00.000Z,Dallas Mavericks,New Orleans Pelicans,-13
21436,4,2008-04-28T00:00:00.000Z,Atlanta Hawks,Boston Celtics,5
21437,4,2008-04-29T00:00:00.000Z,New Orleans Pelicans,Dallas Mavericks,5
21438,4,2008-04-30T00:00:00.000Z,Boston Celtics,Atlanta Hawks,25
21439,4,2008-05-01T00:00:00.000Z,Philadelphia 76ers,Detroit Pistons,-23
21440,4,2008-05-02T00:00:00.000Z,Atlanta Hawks,Boston Celtics,3
21441,4,2008-05-03T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,19
21442,4,2008-05-04T00:00:00.000Z,Boston Celtics,Atlanta Hawks,34
21443,4,2008-05-05T00:00:00.000Z,Detroit Pistons,Orlando Magic,7
21444,4,2008-05-06T00:00:00.000Z,Boston Celtics,Cleveland Cavaliers,4
21445,4,2008-05-07T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,10
21446,4,2008-05-08T00:00:00.000Z,San Antonio Spurs,New Orleans Pelicans,11
21447,4,2008-05-09T00:00:00.000Z,Utah Jazz,Los Angeles Lakers,5
21448,4,2008-05-10T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,24
21449,4,2008-05-11T00:00:00.000Z,San Antonio Spurs,New Orleans Pelicans,20
21450,4,2008-05-13T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,22
21451,4,2008-05-14T00:00:00.000Z,Boston Celtics,Cleveland Cavaliers,7
21452,4,2008-05-16T00:00:00.000Z,Utah Jazz,Los Angeles Lakers,-3
21453,4,2008-05-18T00:00:00.000Z,Boston Celtics,Cleveland Cavaliers,5
21454,4,2008-05-19T00:00:00.000Z,New Orleans Pelicans,San Antonio Spurs,-9
21455,4,2008-05-20T00:00:00.000Z,Boston Celtics,Detroit Pistons,9
21456,4,2008-05-21T00:00:00.000Z,Los Angeles Lakers,San Antonio Spurs,4
21457,4,2008-05-22T00:00:00.000Z,Boston Celtics,Detroit Pistons,-6
21458,4,2008-05-23T00:00:00.000Z,Los Angeles Lakers,San Antonio Spurs,30
21459,4,2008-05-24T00:00:00.000Z,Detroit Pistons,Boston Celtics,-14
21460,4,2008-05-25T00:00:00.000Z,San Antonio Spurs,Los Angeles Lakers,19
21461,4,2008-05-26T00:00:00.000Z,Detroit Pistons,Boston Celtics,19
21462,4,2008-05-27T00:00:00.000Z,San Antonio Spurs,Los Angeles Lakers,-2
21463,4,2008-05-28T00:00:00.000Z,Boston Celtics,Detroit Pistons,4
21464,4,2008-05-29T00:00:00.000Z,Los Angeles Lakers,San Antonio Spurs,8
21465,4,2008-05-30T00:00:00.000Z,Detroit Pistons,Boston Celtics,-8
21466,4,2008-06-05T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,10
21467,4,2008-06-08T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,6
21468,4,2008-06-10T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,6
21469,4,2008-06-12T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,-6
21470,4,2008-06-15T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,5
21471,4,2008-06-17T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,39
21549,4,2008-05-10T00:00:00.000Z,Orlando Magic,Detroit Pistons,-1
21550,4,2008-05-11T00:00:00.000Z,Utah Jazz,Los Angeles Lakers,8
21551,4,2008-05-12T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,11
21552,4,2008-05-13T00:00:00.000Z,Detroit Pistons,Orlando Magic,5
21553,4,2008-05-14T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,7
21554,4,2008-05-15T00:00:00.000Z,San Antonio Spurs,New Orleans Pelicans,19
21555,4,2008-05-16T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,5
21906,4,2009-04-18T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks,-8
21907,4,2009-04-19T00:00:00.000Z,Orlando Magic,Philadelphia 76ers,-2
21908,4,2009-04-20T00:00:00.000Z,Boston Celtics,Chicago Bulls,3
21909,4,2009-04-21T00:00:00.000Z,Portland Trail Blazers,Houston Rockets,4
21910,4,2009-04-22T00:00:00.000Z,Orlando Magic,Philadelphia 76ers,9
21911,4,2009-04-23T00:00:00.000Z,Utah Jazz,Los Angeles Lakers,2
21912,4,2009-04-24T00:00:00.000Z,Detroit Pistons,Cleveland Cavaliers,-11
22964,4,2008-04-19T00:00:00.000Z,New Orleans Pelicans,Dallas Mavericks,12
22965,4,2008-04-20T00:00:00.000Z,Los Angeles Lakers,Denver Nuggets,14
22966,4,2008-04-22T00:00:00.000Z,New Orleans Pelicans,Dallas Mavericks,24
22967,4,2008-04-23T00:00:00.000Z,Boston Celtics,Atlanta Hawks,19
22968,4,2008-04-24T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,36
22969,4,2008-04-25T00:00:00.000Z,Phoenix Suns,San Antonio Spurs,-16
22970,4,2008-04-26T00:00:00.000Z,Toronto Raptors,Orlando Magic,-12
22971,4,2008-04-27T00:00:00.000Z,Phoenix Suns,San Antonio Spurs,19
22972,4,2008-04-28T00:00:00.000Z,Denver Nuggets,Los Angeles Lakers,-6
22973,4,2008-04-29T00:00:00.000Z,San Antonio Spurs,Phoenix Suns,5
22974,4,2008-04-30T00:00:00.000Z,Cleveland Cavaliers,Washington Wizards,-1
22975,4,2008-05-02T00:00:00.000Z,Utah Jazz,Houston Rockets,22
23188,4,2008-04-19T00:00:00.000Z,San Antonio Spurs,Phoenix Suns,2
23189,4,2008-04-20T00:00:00.000Z,Orlando Magic,Toronto Raptors,14
23370,4,2009-04-18T00:00:00.000Z,Boston Celtics,Chicago Bulls,-2
23371,4,2009-04-19T00:00:00.000Z,Denver Nuggets,New Orleans Pelicans,29
23372,4,2009-04-21T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,10
23373,4,2009-04-22T00:00:00.000Z,Atlanta Hawks,Miami Heat,-15
23374,4,2009-04-23T00:00:00.000Z,Chicago Bulls,Boston Celtics,-21
23375,4,2009-04-24T00:00:00.000Z,Houston Rockets,Portland Trail Blazers,3
23376,4,2009-04-25T00:00:00.000Z,Dallas Mavericks,San Antonio Spurs,9
23377,4,2009-04-25T00:00:00.000Z,Miami Heat,Atlanta Hawks,29
23378,4,2009-04-26T00:00:00.000Z,Philadelphia 76ers,Orlando Magic,-3
23379,4,2009-04-26T00:00:00.000Z,Houston Rockets,Portland Trail Blazers,1
23380,4,2009-04-27T00:00:00.000Z,New Orleans Pelicans,Denver Nuggets,-58
23381,4,2009-04-27T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,11
23382,4,2009-04-28T00:00:00.000Z,Orlando Magic,Philadelphia 76ers,13
23383,4,2009-04-28T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks,-13
23384,4,2009-04-29T00:00:00.000Z,Atlanta Hawks,Miami Heat,15
23385,4,2009-04-30T00:00:00.000Z,Philadelphia 76ers,Orlando Magic,-25
23386,4,2009-04-30T00:00:00.000Z,Houston Rockets,Portland Trail Blazers,16
23387,4,2009-05-01T00:00:00.000Z,Miami Heat,Atlanta Hawks,26
23388,4,2009-05-02T00:00:00.000Z,Boston Celtics,Chicago Bulls,10
23389,4,2009-05-03T00:00:00.000Z,Atlanta Hawks,Miami Heat,13
23390,4,2009-05-03T00:00:00.000Z,Denver Nuggets,Dallas Mavericks,14
23391,4,2009-05-04T00:00:00.000Z,Los Angeles Lakers,Houston Rockets,-8
23392,4,2009-05-04T00:00:00.000Z,Boston Celtics,Orlando Magic,-5
23393,4,2009-05-05T00:00:00.000Z,Cleveland Cavaliers,Atlanta Hawks,27
23394,4,2009-05-05T00:00:00.000Z,Denver Nuggets,Dallas Mavericks,12
23395,4,2009-05-06T00:00:00.000Z,Los Angeles Lakers,Houston Rockets,13
23396,4,2009-05-06T00:00:00.000Z,Boston Celtics,Orlando Magic,18
